suite,ordinal,case_id,family,source,csv_path,n_items,status,started_s,elapsed_s,comparison_rows,has_comparison_table,out_case_dir,error
generalization_public_1seed_300s,17,ngcut4,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut4.csv,7,completed,2379.883241,289.373108,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__ngcut4,
generalization_public_1seed_300s,18,ngcut7,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut7.csv,8,completed,2391.091745,289.031076,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__ngcut7,
generalization_public_1seed_300s,19,ngcut1,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut1.csv,10,completed,2669.590178,290.067147,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__ngcut1,
generalization_public_1seed_300s,20,ngcut10,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut10.csv,13,completed,2680.495923,291.127847,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__ngcut10,
generalization_public_1seed_300s,21,ngcut8,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut8.csv,13,completed,2959.97486,292.505992,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__ngcut8,
generalization_public_1seed_300s,22,ngcut5,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut5.csv,14,completed,2972.03043,294.930637,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__ngcut5,
generalization_public_1seed_300s,23,ngcut11,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut11.csv,15,completed,3252.85791,293.379708,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__ngcut11,
generalization_public_1seed_300s,24,ngcut6,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut6.csv,15,completed,3267.338009,290.933766,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__ngcut6,
generalization_public_1seed_300s,25,ngcut2,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut2.csv,17,completed,3546.532811,291.622308,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__ngcut2,
generalization_public_1seed_300s,26,ngcut9,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut9.csv,18,completed,3558.650106,293.52038,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__ngcut9,
generalization_public_1seed_300s,27,ngcut3,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut3.csv,21,completed,3838.519005,294.771407,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__ngcut3,
generalization_public_1seed_300s,28,ngcut12,ngcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\ngcut12.csv,22,completed,3852.528513,289.377068,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__ngcut12,
