board,uid,pid_raw,x,y,w,h,w0,h0,rotated
55,544,544,1886.0,5.0,323.0,782.0,782.0,323.0,1
55,167,167,5.0,326.0,323.0,781.9,781.9,323.0,1
55,389,389,328.0,348.0,799.0,363.0,799.0,363.0,0
55,265,265,328.0,711.0,795.0,311.0,795.0,311.0,0
55,253,253,1123.0,958.0,851.0,257.0,851.0,257.0,0
55,175,175,1974.0,787.0,432.0,380.0,432.0,380.0,0
55,528,528,1127.0,348.0,420.0,353.0,420.0,353.0,0
56,186,186,5.0,5.0,820.0,294.0,820.0,294.0,0
56,245,245,825.0,5.0,720.5,352.5,720.5,352.5,0
56,91,91,5.0,299.0,513.0,551.0,513.0,551.0,0
56,412,412,1545.5,5.0,378.0,685.0,685.0,378.0,1
56,1,1,1923.5,5.0,409.0,713.5,713.5,409.0,1
56,35,35,518.0,357.5,844.0,333.0,844.0,333.0,0
56,38,38,518.0,690.5,723.5,340.0,723.5,340.0,0
56,116,116,1241.5,718.5,767.7,308.0,767.7,308.0,0
56,504,504,2009.2,718.5,409.5,494.0,409.5,494.0,0
56,502,502,5.0,850.0,480.0,364.0,480.0,364.0,0
57,216,216,5.0,5.0,918.0,303.0,918.0,303.0,0
57,419,419,923.0,5.0,826.0,353.0,826.0,353.0,0
57,388,388,1749.0,5.0,316.0,830.0,830.0,316.0,1
57,144,144,5.0,308.0,564.0,543.0,564.0,543.0,0
57,440,440,569.0,358.0,549.0,484.0,484.0,549.0,1
57,159,159,2065.0,5.0,303.0,844.0,844.0,303.0,1
57,472,472,1118.0,835.0,799.0,363.0,799.0,363.0,0
57,291,291,5.0,851.0,844.0,333.0,844.0,333.0,0
57,518,518,1118.0,358.0,574.0,440.0,440.0,574.0,1
57,53,53,1917.0,849.0,514.0,332.0,514.0,332.0,0
57,519,519,849.0,842.0,232.0,328.0,232.0,328.0,0
58,359,359,5.0,5.0,729.5,310.7,310.7,729.5,1
58,548,548,734.5,5.0,700.0,330.0,700.0,330.0,0
58,114,114,5.0,315.7,273.0,789.0,789.0,273.0,1
58,173,173,1434.5,5.0,322.0,706.5,706.5,322.0,1
58,427,427,1756.5,5.0,484.0,531.0,484.0,531.0,0
58,139,139,278.0,335.0,862.0,279.0,862.0,279.0,0
58,547,547,278.0,614.0,713.5,409.0,713.5,409.0,0
58,121,121,991.5,711.5,740.5,348.0,740.5,348.0,0
58,126,126,1732.0,711.5,680.0,330.0,680.0,330.0,0
58,441,441,1140.0,335.0,286.0,330.0,286.0,330.0,0
59,170,170,5.0,5.0,753.0,278.0,753.0,278.0,0
59,79,79,758.0,5.0,700.0,310.0,700.0,310.0,0
59,78,78,5.0,283.0,311.0,782.0,782.0,311.0,1
59,467,467,1458.0,5.0,316.0,830.0,830.0,316.0,1
59,390,390,1774.0,5.0,543.0,564.0,564.0,543.0,1
59,531,531,316.0,283.0,306.0,700.5,700.5,306.0,1
59,297,297,622.0,835.0,844.0,333.0,844.0,333.0,0
59,445,445,1774.0,569.0,541.0,443.0,443.0,541.0,1
